co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100338,Estadual,2025,4.0,0.929042,,4.333159,263.67,263.19,92.9
1100338,Pública,2017,3.7,0.886906,,4.126273,257.29,255.26,87.4
1100338,Pública,2019,4.0,0.933609,3.9,4.242463,259.76,260.9,92.9
1100338,Pública,2021,3.8,0.918844,4.1,4.152149,258.54,255.77,91.6
1100338,Pública,2023,3.9,0.944709,,4.13377,258.41,254.6,94.1
1100338,Pública,2025,4.0,0.929042,,4.333159,263.67,263.19,92.9
1100346,Estadual,2017,3.8,0.915181,,4.147328,254.24,260.01,91.0
1100346,Estadual,2019,,0.868024,4.0,,,,86.2
1100346,Estadual,2021,,0.938385,4.2,,,,93.3
1100346,Estadual,2023,3.9,0.974725,,4.052411,253.51,254.03,97.6
1100346,Estadual,2025,3.7,0.940735,,3.967655,250.1,251.63,94.1
1100346,Pública,2017,3.8,0.915181,,4.147328,254.24,260.01,91.0
1100346,Pública,2019,,0.868024,4.0,,,,86.2
1100346,Pública,2021,,0.938385,4.2,,,,93.3
1100346,Pública,2023,3.9,0.974725,,4.052411,253.51,254.03,97.6
1100346,Pública,2025,3.7,0.940735,,3.967655,250.1,251.63,94.1
1100379,Estadual,2017,4.1,0.920267,,4.454301,262.84,272.7,92.3
1100379,Estadual,2019,4.2,0.890363,4.3,4.743651,274.86,280.49,89.8
1100379,Estadual,2021,,0.890764,4.5,,,,88.8
1100379,Estadual,2023,4.4,0.903741,,4.815997,281.1,278.99,89.9
1100379,Estadual,2025,4.7,0.960509,,4.851608,280.88,281.76,96.0
1100379,Pública,2017,4.1,0.920267,,4.454301,262.84,272.7,92.3
1100379,Pública,2019,4.2,0.890363,4.3,4.743651,274.86,280.49,89.8
1100379,Pública,2021,,0.890764,4.5,,,,88.8
1100379,Pública,2023,4.4,0.903741,,4.815997,281.1,278.99,89.9
1100379,Pública,2025,4.7,0.960509,,4.851608,280.88,281.76,96.0
1100403,Estadual,2017,3.1,0.792264,,3.856493,243.5,250.75,79.1
1100403,Estadual,2019,3.0,0.74247,3.3,4.077261,254.41,254.84,73.1
1100403,Estadual,2021,,0.891657,3.5,,,,89.4
1100403,Estadual,2023,,0.849808,,,,,85.4
1100403,Estadual,2025,3.8,0.892323,,4.292771,264.04,259.92,89.4
1100403,Pública,2017,3.1,0.792264,,3.856493,243.5,250.75,79.1
1100403,Pública,2019,3.0,0.74247,3.3,4.077261,254.41,254.84,73.1
1100403,Pública,2021,,0.891657,3.5,,,,89.4
1100403,Pública,2023,,0.849808,,,,,85.4
1100403,Pública,2025,3.8,0.892323,,4.292771,264.04,259.92,89.4
1100452,Estadual,2017,3.8,0.900745,,4.235069,257.84,262.42,89.7
1100452,Estadual,2019,4.0,0.883271,4.0,4.551859,274.32,267.41,87.8
1100452,Estadual,2021,3.7,0.877574,4.3,4.243792,263.17,257.36,88.0
1100452,Estadual,2023,3.5,0.833004,,4.194786,259.69,257.58,83.8
1100452,Estadual,2025,4.0,0.900323,,4.39419,267.7,263.24,90.0
1100452,Pública,2017,3.8,0.900745,,4.235069,257.84,262.42,89.7
1100452,Pública,2019,4.0,0.883271,4.0,4.551859,274.32,267.41,87.8
1100452,Pública,2021,3.7,0.877574,4.3,4.243792,263.17,257.36,88.0
1100452,Pública,2023,3.5,0.833004,,4.194786,259.69,257.58,83.8
1100452,Pública,2025,4.0,0.900323,,4.39419,267.7,263.24,90.0
1100502,Estadual,2017,4.1,0.922707,,4.408151,261.84,270.48,92.2
1100502,Estadual,2019,4.6,0.953207,4.3,4.795103,275.67,283.29,94.7
1100502,Estadual,2021,4.6,1.0,4.5,4.580673,267.36,276.88,100.0
1100502,Estadual,2023,4.4,0.981658,,4.525796,268.92,271.31,98.0
1100502,Estadual,2025,4.1,0.941691,,4.384487,267.08,263.21,94.0
1100502,Pública,2017,4.1,0.922707,,4.408151,261.84,270.48,92.2
1100502,Pública,2019,4.6,0.953207,4.3,4.795103,275.67,283.29,94.7
1100502,Pública,2021,4.6,1.0,4.5,4.580673,267.36,276.88,100.0
1100502,Pública,2023,4.4,0.981658,,4.525796,268.92,271.31,98.0
1100502,Pública,2025,4.1,0.941691,,4.384487,267.08,263.21,94.0
1100601,Estadual,2017,4.1,0.867867,,4.767055,273.59,283.51,87.6
1100601,Estadual,2019,,0.89317,4.4,,,,88.8
1100601,Estadual,2021,4.4,0.988938,4.6,4.427663,268.66,264.6,98.8
1100601,Estadual,2023,3.9,0.981819,,3.99576,252.09,251.51,97.9
1100601,Estadual,2025,3.9,0.945618,,4.080097,254.44,255.01,94.5
1100601,Pública,2017,4.1,0.867867,,4.767055,273.59,283.51,87.6
1100601,Pública,2019,,0.89317,4.4,,,,88.8
1100601,Pública,2021,4.4,0.988938,4.6,4.427663,268.66,264.6,98.8
1100601,Pública,2023,3.9,0.981819,,3.99576,252.09,251.51,97.9
1100601,Pública,2025,3.9,0.945618,,4.080097,254.44,255.01,94.5
1100700,Estadual,2017,3.7,0.882765,,4.233675,252.69,267.81,87.7
1100700,Estadual,2019,4.0,0.854706,4.0,4.672643,276.29,273.91,85.1
1100700,Estadual,2021,3.4,0.806739,4.2,4.218813,257.12,262.03,79.4
1100700,Estadual,2023,3.9,0.902839,,4.321387,262.18,263.94,90.1
1100700,Estadual,2025,4.2,0.96554,,4.371607,264.24,265.32,96.6
1100700,Pública,2017,3.7,0.882765,,4.233675,252.69,267.81,87.7
