co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100056,Municipal,2011,4.1,0.821191,4.0,5.022,248.35,252.97,81.4
1100056,Municipal,2013,3.5,0.754038,4.4,4.617833,238.13,238.94,74.9
1100056,Municipal,2015,,0.676766,4.7,,,,66.7
1100056,Municipal,2017,,,5.0,,,,
1100056,Municipal,2019,,,5.2,,,,
1100056,Municipal,2021,,,5.5,,,,
1100056,Pública,2005,3.6,0.762836,,4.735333,229.2,254.9,76.3
1100056,Pública,2007,3.7,0.800198,3.6,4.6585,233.35,246.16,79.8
1100056,Pública,2009,3.7,0.769245,3.8,4.847667,244.43,246.43,76.7
1100056,Pública,2011,3.6,0.73849,4.1,4.8475,240.48,250.37,73.7
1100056,Pública,2013,3.6,0.740774,4.5,4.872333,241.58,250.76,74.4
1100056,Pública,2015,4.0,0.808876,4.8,4.925,245.6,249.9,80.8
1100056,Pública,2017,5.3,0.909648,5.1,5.8065,271.65,276.74,90.8
1100056,Pública,2019,5.3,0.967177,5.4,5.503167,261.62,268.57,96.7
1100056,Pública,2021,5.0,0.992467,5.6,5.021333,250.22,251.06,99.2
1100056,Pública,2023,5.0,0.966651,,5.1365,252.94,255.25,96.7
1100056,Pública,2025,5.0,0.985171,,5.034,248.84,253.2,98.5
1100064,Estadual,2005,3.8,0.803191,,4.786749,234.5,252.7,80.2
1100064,Estadual,2007,4.1,0.825901,3.9,5.000167,243.55,256.46,82.3
1100064,Estadual,2009,3.7,0.747187,4.0,4.917167,244.77,250.26,74.7
1100064,Estadual,2011,3.5,0.721305,4.3,4.890833,244.25,249.2,72.3
1100064,Estadual,2013,3.6,0.722298,4.7,4.995667,246.35,253.39,73.3
1100064,Estadual,2015,4.6,0.855007,5.1,5.332,259.14,260.78,86.6
1100064,Estadual,2017,5.1,0.953875,5.3,5.294667,257.7,259.98,95.4
1100064,Estadual,2019,5.2,0.940466,5.6,5.509333,264.69,265.87,93.9
1100064,Estadual,2021,5.4,0.996495,5.8,5.436333,261.91,264.27,99.6
1100064,Estadual,2023,5.1,0.983959,,5.203167,256.08,256.11,98.4
1100064,Estadual,2025,5.2,0.992967,,5.279,259.43,257.31,99.3
1100064,Municipal,2017,,0.906449,,,,,90.6
1100064,Pública,2005,4.0,0.827093,,4.786667,234.5,252.7,82.6
1100064,Pública,2007,4.3,0.852743,4.0,5.000167,243.55,256.46,84.9
1100064,Pública,2009,3.9,0.788671,4.1,4.917167,244.77,250.26,78.8
1100064,Pública,2011,3.8,0.775699,4.4,4.890833,244.25,249.2,77.6
1100064,Pública,2013,3.9,0.778541,4.8,4.995667,246.35,253.39,78.5
1100064,Pública,2015,4.6,0.871871,5.2,5.332,259.14,260.78,87.9
1100064,Pública,2017,5.0,0.943828,5.4,5.294667,257.7,259.98,94.3
1100064,Pública,2019,5.1,0.927842,5.7,5.509333,264.69,265.87,92.6
1100064,Pública,2021,5.4,0.995498,5.9,5.436333,261.91,264.27,99.5
1100064,Pública,2023,5.1,0.977226,,5.203167,256.08,256.11,97.7
1100064,Pública,2025,5.2,0.990699,,5.279,259.43,257.31,99.0
1100072,Estadual,2005,3.3,0.750039,,4.3777,226.8,235.9,73.9
1100072,Estadual,2007,3.3,0.683643,3.3,4.898667,236.34,257.58,67.4
1100072,Estadual,2009,4.3,0.827288,3.5,5.210833,255.82,256.83,82.4
1100072,Estadual,2011,4.1,0.815023,3.7,5.038,245.0,257.28,82.1
1100072,Estadual,2013,4.7,0.924471,4.1,5.078,250.11,254.57,92.2
1100072,Estadual,2015,4.5,0.830285,4.5,5.385833,266.97,256.18,84.2
1100072,Estadual,2017,4.6,0.956613,4.8,4.823167,242.91,246.48,95.7
1100072,Estadual,2019,5.0,0.984736,5.0,5.114,251.94,254.9,98.5
1100072,Estadual,2021,5.1,0.997735,5.3,5.074833,253.55,250.94,99.7
1100072,Estadual,2023,5.5,0.986474,,5.575,267.79,266.71,98.7
1100072,Estadual,2025,4.6,0.997481,,4.622833,239.52,237.85,99.8
1100072,Municipal,2017,,0.782445,,,,,77.2
1100072,Pública,2005,3.3,0.760936,,4.377667,226.8,235.9,74.5
1100072,Pública,2007,3.8,0.778489,3.4,4.898667,236.34,257.58,76.9
1100072,Pública,2009,4.4,0.847854,3.5,5.210833,255.82,256.83,84.8
1100072,Pública,2011,4.0,0.802013,3.8,5.038,245.0,257.28,80.5
1100072,Pública,2013,4.3,0.850234,4.2,5.078,250.11,254.57,85.4
1100072,Pública,2015,4.4,0.818049,4.6,5.385833,266.97,256.18,82.1
1100072,Pública,2017,4.4,0.915772,4.8,4.823167,242.91,246.48,91.5
1100072,Pública,2019,4.9,0.958228,5.1,5.114,251.94,254.9,95.7
1100072,Pública,2021,5.1,0.997735,5.3,5.074833,253.55,250.94,99.8
1100072,Pública,2023,5.5,0.986474,,5.575,267.79,266.71,98.7
1100072,Pública,2025,4.6,0.997481,,4.622833,239.52,237.85,99.8
1100080,Estadual,2005,3.3,0.73769,,4.438803,225.4,240.9,73.8
1100080,Estadual,2007,3.5,0.823079,3.3,4.239833,221.08,233.31,81.8
1100080,Estadual,2009,2.9,0.682002,3.5,4.264333,223.95,231.91,67.4
1100080,Estadual,2011,3.6,0.778967,3.7,4.6095,231.03,245.54,77.4
1100080,Estadual,2013,2.8,0.7211,4.1,3.892167,212.16,221.37,71.9
1100080,Estadual,2015,,0.797993,4.5,,,,79.6
